DATE,DPCCRV1Q225SBEA,UNRATE,NROU,Proposed_Interest_Rate
1948-03-01,NA,4,NA,NA
1948-04-01,NA,3.9,NA,NA
1948-05-01,NA,3.5,NA,NA
1948-06-01,NA,3.6,NA,NA
1948-07-01,NA,3.6,NA,NA
1948-08-01,NA,3.9,NA,NA
1948-09-01,NA,3.8,NA,NA
1948-10-01,NA,3.7,NA,NA
1948-11-01,NA,3.8,NA,NA
1948-12-01,NA,4,NA,NA
1949-01-01,NA,4.3,5.25505256652832,NA
1949-02-01,NA,4.7,NA,NA
1949-03-01,NA,5,NA,NA
1949-04-01,NA,5.3,5.2615156173706055,NA
1949-05-01,NA,6.1,NA,NA
1949-06-01,NA,6.2,NA,NA
1949-07-01,NA,6.7,5.268013,NA
1949-08-01,NA,6.8,NA,NA
1949-09-01,NA,6.6,NA,NA
1949-10-01,NA,7.9,5.274564,NA
1949-11-01,NA,6.4,NA,NA
1949-12-01,NA,6.6,NA,NA
1950-01-01,NA,6.5,5.281182,NA
1950-02-01,NA,6.4,NA,NA
1950-03-01,NA,6.3,NA,NA
1950-04-01,NA,5.8,5.287866,NA
1950-05-01,NA,5.5,NA,NA
1950-06-01,NA,5.4,NA,NA
1950-07-01,NA,5,5.294604,NA
1950-08-01,NA,4.5,NA,NA
1950-09-01,NA,4.4,NA,NA
1950-10-01,NA,4.2,5.301367,NA
1950-11-01,NA,4.2,NA,NA
1950-12-01,NA,4.3,NA,NA
1951-01-01,NA,3.7,5.308113,NA
1951-02-01,NA,3.4,NA,NA
1951-03-01,NA,3.4,NA,NA
1951-04-01,NA,3.1,5.314789,NA
1951-05-01,NA,3,NA,NA
1951-06-01,NA,3.2,NA,NA
1951-07-01,NA,3.1,5.321333408355713,NA
1951-08-01,NA,3.1,NA,NA
1951-09-01,NA,3.3,NA,NA
1951-10-01,NA,3.5,5.3276824951171875,NA
1951-11-01,NA,3.5,NA,NA
1951-12-01,NA,3.1,NA,NA
1952-01-01,NA,3.2,5.333774,NA
1952-02-01,NA,3.1,NA,NA
1952-03-01,NA,2.9,NA,NA
1952-04-01,NA,2.9,5.339555000000001,NA
1952-05-01,NA,3,NA,NA
1952-06-01,NA,3,NA,NA
